eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 2013-10-17 17:07:11
#Cmp ( sort. wg = Oznaczenie )
| C3         100nF       ~                   ; ~           ; ~           
| C4         100nF       ~                   ; ~           ; ~           
| C5         100nF       ~                   ; ~           ; ~           
| D1         LED         ~                   ; ~           ; ~           
| D2         LED         ~                   ; ~           ; ~           
| IC1        ATMEGA8-P                       ; DIL28       ;             
| LED1       LEDS2_CRBG                      ;             ;             
| LED2       LEDS2_CRBG                      ;             ;             
| P1         CONN_12                         ;             ;             
| P2         CONN_6                          ;             ;             
| P3         CONN_12                         ;             ;             
| R1         10k         ~                   ; ~           ; ~           
| R2         10k         ~                   ; ~           ; ~           
| R3         10k         ~                   ; ~           ; ~           
| R4         10k         ~                   ; ~           ; ~           
| R5         10k         ~                   ; ~           ; ~           
| R6         10k         ~                   ; ~           ; ~           
| R7         10k         ~                   ; ~           ; ~           
| R8         10k         ~                   ; ~           ; ~           
| R9         10k         ~                   ; ~           ; ~           
| R10        10k         ~                   ; ~           ; ~           
| SW1        SW_PUSH_SMALL~                   ; ~           ; ~           
| U1         ULN2003                         ;             ;             
| U2         ULN2003A                        ;             ;             
#End Cmp

#Cmp ( sort. wg = Wartość )
| 100nF        C3        ; ~           ; ~           
| 100nF        C4        ; ~           ; ~           
| 100nF        C5        ; ~           ; ~           
| LED          D1        ; ~           ; ~           
| LED          D2        ; ~           ; ~           
| ATMEGA8-P    IC1       ; DIL28       ;             
| LEDS2_CRBG   LED1      ;             ;             
| LEDS2_CRBG   LED2      ;             ;             
| CONN_12      P1        ;             ;             
| CONN_6       P2        ;             ;             
| CONN_12      P3        ;             ;             
| 10k          R1        ; ~           ; ~           
| 10k          R2        ; ~           ; ~           
| 10k          R3        ; ~           ; ~           
| 10k          R4        ; ~           ; ~           
| 10k          R5        ; ~           ; ~           
| 10k          R6        ; ~           ; ~           
| 10k          R7        ; ~           ; ~           
| 10k          R8        ; ~           ; ~           
| 10k          R9        ; ~           ; ~           
| 10k          R10       ; ~           ; ~           
| SW_PUSH_SMALL SW1       ; ~           ; ~           
| ULN2003      U1        ;             ;             
| ULN2003A     U2        ;             ;             
#Koniec Cmp

#Koniec listy
